# Time-series
# t	r	v	r_1_P	v_1_P	r_1_L	v_1_L	r_1	v_1	...
41	0.93985	106.4	0	0	0	0	0	0	0.40541	148	0	0	0.40541	148	1.2121	99	1.2903	93	2.5	96
42	0.90909	110	0	0	0	0	0	0	0.83333	144	0	0	0.83333	144	0.66667	90	1.3953	86	2.0611	87.333
43	1.5607	115.33	0	0	0	0	0	0	2.3077	130	0	0	2.3077	130	1.1429	105	1.3483	89	2.4742	97
44	1.2144	115.29	0	0	0	0	0	0	0.85714	140	0	0	0.85714	140	0.90226	133	2.069	87	2.8463	105.4
45	1.7153	116.6	0.86957	138	0	0	0.86957	138	1.92	125	0	0	1.92	125	1.1429	105	1.3333	90	2.4615	97.5
46	1.677	107.33	0	0	0	0	0	0	1.5254	118	0	0	1.5254	118	1.5385	117	2.069	87	3.5294	102
47	2.0961	114.5	0	0	0	0	0	0	2.439	123	0	0	2.439	123	2.6087	115	1.3043	92	3.8735	108.43
48	0.9058	110.4	0	0	0	0	0	0	0.42857	140	0	0	0.42857	140	1	120	1.3953	86	2.3301	103
49	0.5625	106.67	0	0	0	0	0	0	0	0	0	0	0	0	1.0256	117	0.69767	86	1.6875	106.67
50	2.0826	105.64	0	0	0	0	0	0	3.0769	117	0	0	3.0769	117	0	0	3.2609	92	3.2609	92
51	1.4529	123.89	0.8	150	0	0	0.8	150	1.2587	143	0	0	1.2587	143	1.8	100	0.69767	86	2.487	96.5
52	0.92251	108.4	0.45113	133	0	0	0.45113	133	0.48387	124	0	0	0.48387	124	0.61856	97	1.2766	94	1.8947	95
53	0.74766	107	0	0	0	0	0	0	1.0909	110	0	0	1.0909	110	0.51724	116	0.65217	92	1.1538	104
54	2.2962	113.23	0.40541	148	0	0	0.40541	148	2.7273	132	0	0	2.7273	132	0.61856	97	3.4483	87	4.0602	88.667
55	1.1807	118.57	0	0	0	0	0	0	1.4286	126	0	0	1.4286	126	1.4754	122	0.69767	86	2.1239	113
56	1.4936	107.12	0	0	0	0	0	0	0.82759	145	0	0	0.82759	145	1.8557	97	1.9565	92	3.8095	94.5
